protocol,direction,fold,seed,feature_set,point_id,nearest_training_row_identifier,standardized_nearest_distance
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00050000_wq-0.47500000,k0.00075000_wq-0.47500000,0.6175278850972926
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00025000_wq-0.50000000,k0.00075000_wq-0.47500000,1.1997251355682115
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00025000_wq-0.45000000,k0.00075000_wq-0.47500000,1.2689687303300283
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00000000_wq-0.71250000,k0.00075000_wq-0.47500000,1.8526558925732215
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00000000_wq-0.47500000,k0.00075000_wq-0.47500000,1.8526558925732215
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00025000_wq-0.58000000,k0.00075000_wq-0.47500000,1.0983509010141326
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00025000_wq-0.55000000,k0.00075000_wq-0.47500000,1.1296010486645687
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00000000_wq-0.66666667,k0.00075000_wq-0.47500000,1.8526558925732215
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00000000_wq-0.50000000,k0.00075000_wq-0.47500000,1.9770585537329342
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00000000_wq-0.52500000,k0.00075000_wq-0.47500000,1.9770585537329342
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00025000_wq-0.47500000,k0.00075000_wq-0.47500000,1.3180243689568285
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00025000_wq-0.61000000,k0.00075000_wq-0.47500000,1.1690123683167304
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00050000_wq-0.45000000,k0.00075000_wq-0.47500000,0.7523162319158818
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00050000_wq-0.58000000,k0.00075000_wq-0.52500000,0.6353276914505589
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00000000_wq-0.64000000,k0.00075000_wq-0.47500000,1.9770585537329342
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00050000_wq-0.64000000,k0.00075000_wq-0.61000000,0.7830220212397618
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00000000_wq-0.55000000,k0.00075000_wq-0.47500000,1.9770585537329342
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00050000_wq-0.61000000,k0.00075000_wq-0.58000000,0.7192843343415769
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00025000_wq-0.52500000,k0.00075000_wq-0.47500000,1.2206570314514387
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00000000_wq-0.69000000,k0.00075000_wq-0.47500000,1.9770585537329342
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00000000_wq-0.61000000,k0.00075000_wq-0.47500000,1.9770585537329342
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00050000_wq-0.71250000,k0.00075000_wq-0.69000000,1.2810733002000738
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00050000_wq-0.52500000,k0.00075000_wq-0.47500000,0.5208104767185129
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00025000_wq-0.69000000,k0.00075000_wq-0.58000000,1.5995914296253775
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00050000_wq-0.55000000,k0.00075000_wq-0.50000000,0.5635335418670178
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00050000_wq-0.50000000,k0.00075000_wq-0.47500000,0.5711339718968901
