method,protocol,direction,fold,seed,point_id,k,wq,error_ringdown,error_ringdown_plus_geometry,ringdown_only,ringdown_plus_photon_geometry,delta_log_sigma_min,delta_error_wq
MLP,grouped_physical_interpolation,,blocks_3x3_g1,2026,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0276792561422558,0.0532072291011344,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.0255279729588786
MLP,grouped_physical_interpolation,,blocks_3x3_g1,2027,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0071448971652543,0.0299647960704155,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.0228198989051612
MLP,grouped_physical_interpolation,,blocks_3x3_g1,2028,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0118861752611556,0.021095152306761,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.009208977045605402
MLP,grouped_physical_interpolation,,blocks_3x3_g1,2029,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0124456150347646,0.0352718476225881,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.0228262325878235
MLP,grouped_physical_interpolation,,blocks_3x3_g1,2030,k0.00050000_wq-0.58000000,0.0005,-0.58,0.009869490716777,0.0203791017162928,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.010509610999515799
MLP,grouped_physical_interpolation,,blocks_3x3_shifted_g1,2026,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0173020368853361,0.017375230130742,0.110197961124687,0.7525612635401862,1.9212040116947893,-7.319324540589964e-05
MLP,grouped_physical_interpolation,,blocks_3x3_shifted_g1,2027,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0144662321505409,0.0395296566819618,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.0250634245314209
MLP,grouped_physical_interpolation,,blocks_3x3_shifted_g1,2028,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0224843022829277,0.0293582451007272,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.006873942817799499
MLP,grouped_physical_interpolation,,blocks_3x3_shifted_g1,2029,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0053424546439159,0.0478654306497016,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.042522976005785695
MLP,grouped_physical_interpolation,,blocks_3x3_shifted_g1,2030,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0063931372170947,0.017782598604615,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.0113894613875203
MLP,random_interpolation,,random_2028,2028,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0209941401424123,0.0245796579664661,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.0035855178240538008
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,k0.00050000_wq-0.58000000,0.0005,-0.58,0.1049999999999999,0.0549999999999999,0.110197961124687,0.7525612635401862,1.9212040116947893,0.049999999999999996
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,k0.00050000_wq-0.58000000,0.0005,-0.58,0.1299999999999999,0.0549999999999999,0.110197961124687,0.7525612635401862,1.9212040116947893,0.07499999999999998
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,k0.00050000_wq-0.58000000,0.0005,-0.58,0.1299999999999999,0.0549999999999999,0.110197961124687,0.7525612635401862,1.9212040116947893,0.07499999999999998
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2029,k0.00050000_wq-0.58000000,0.0005,-0.58,0.1049999999999999,0.0799999999999999,0.110197961124687,0.7525612635401862,1.9212040116947893,0.024999999999999994
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2030,k0.00050000_wq-0.58000000,0.0005,-0.58,0.1299999999999999,0.0549999999999999,0.110197961124687,0.7525612635401862,1.9212040116947893,0.07499999999999998
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2026,k0.00050000_wq-0.58000000,0.0005,-0.58,0.06,0.0799999999999999,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.019999999999999907
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2027,k0.00050000_wq-0.58000000,0.0005,-0.58,0.06,0.0799999999999999,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.019999999999999907
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2028,k0.00050000_wq-0.58000000,0.0005,-0.58,0.06,0.0799999999999999,0.110197961124687,0.7525612635401862,1.9212040116947893,-0.019999999999999907
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2029,k0.00050000_wq-0.58000000,0.0005,-0.58,0.06,0.06,0.110197961124687,0.7525612635401862,1.9212040116947893,0.0
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2030,k0.00050000_wq-0.58000000,0.0005,-0.58,0.06,0.06,0.110197961124687,0.7525612635401862,1.9212040116947893,0.0
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_shifted_g1,2026,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0549999999999999,0.0299999999999999,0.110197961124687,0.7525612635401862,1.9212040116947893,0.025000000000000005
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_shifted_g1,2027,k0.00050000_wq-0.58000000,0.0005,-0.58,0.1049999999999999,0.0549999999999999,0.110197961124687,0.7525612635401862,1.9212040116947893,0.049999999999999996
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_shifted_g1,2028,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0549999999999999,0.0549999999999999,0.110197961124687,0.7525612635401862,1.9212040116947893,0.0
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_shifted_g1,2029,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0549999999999999,0.0549999999999999,0.110197961124687,0.7525612635401862,1.9212040116947893,0.0
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_shifted_g1,2030,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0549999999999999,0.0549999999999999,0.110197961124687,0.7525612635401862,1.9212040116947893,0.0
Nearest physical model,random_interpolation,,random_2028,2028,k0.00050000_wq-0.58000000,0.0005,-0.58,0.0299999999999999,0.0299999999999999,0.110197961124687,0.7525612635401862,1.9212040116947893,0.0
