method,protocol,feature_set,k_NMAE,identifiable_wq_NMAE,k_q25,k_q75,wq_q25,wq_q75,n
RF,directional_extrapolation,ringdown_plus_all_shooting,0.1507678872053872,0.20006146384479562,0.07311265181577663,0.2019065656565656,0.09644632664335623,0.20346575797071648,20
RF,directional_extrapolation,ringdown_plus_photon_geometry,0.1417914562289562,0.203280753109324,0.0638129434223182,0.20156355218855215,0.15312253091046962,0.22960727850436707,20
RF,grouped_physical_interpolation,all_shooting,0.1235602659782348,0.06931079407071415,0.08283774250440923,0.1946522197420634,0.05144633742947265,0.1052137249447099,90
RF,grouped_physical_interpolation,photon_geometry,0.1855605895372669,0.11439093075501695,0.132886812518757,0.2665272018924361,0.0697767310370655,0.20817250225707565,90
RF,grouped_physical_interpolation,ringdown,0.048473968667328046,0.3092754095184649,0.016869774130190827,0.06468646660052896,0.2246125933012095,0.401950467228245,90
RF,grouped_physical_interpolation,ringdown_plus_all_shooting,0.0445781663359789,0.0688828026581001,0.02546166087962965,0.06284968171296293,0.05187175807823145,0.10459234457671933,90
RF,grouped_physical_interpolation,ringdown_plus_photon_geometry,0.04572581845238085,0.1113168711432592,0.027455150462962798,0.06618373842592595,0.07162180209836462,0.20519280872071033,90
RF,random_interpolation,all_shooting,0.074779783199054,0.0437469377430605,0.062945357593795,0.07621413414903,0.0431372741015605,0.0468747198536713,5
RF,random_interpolation,photon_geometry,0.1065227911556037,0.088658645954281,0.102444234392151,0.1337314794183667,0.0749761822603437,0.098649878969151,5
RF,random_interpolation,ringdown,0.0360880456349207,0.1687453832048382,0.0232481286075036,0.0377048748897707,0.1561359141299619,0.1726807934529798,5
RF,random_interpolation,ringdown_plus_all_shooting,0.0374558531746032,0.0447518285653214,0.0289505095598845,0.0374633349867725,0.0427872317277086,0.0470312464801772,5
RF,random_interpolation,ringdown_plus_photon_geometry,0.037802166005291,0.0843580953144447,0.0282033204064454,0.0393255621693122,0.071926329871723,0.0914369630389651,5
