source_csv,filtering_rule,protocol,feature_set,sample_count,aggregation,value,status
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown_plus_photon_geometry; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_photon_geometry,20,median across registered fold/seed NMAE values,0.1896016271970194,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=all_shooting; target=k; k=0 excluded only for wq,grouped_physical_interpolation,all_shooting,90,median across registered fold/seed NMAE values,0.0680709513349134,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=all_shooting; target=identifiable_wq; k=0 excluded only for wq,grouped_physical_interpolation,all_shooting,90,median across registered fold/seed NMAE values,0.0983296929756329,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=photon_geometry; target=k; k=0 excluded only for wq,grouped_physical_interpolation,photon_geometry,90,median across registered fold/seed NMAE values,0.0752105832287619,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=photon_geometry; target=identifiable_wq; k=0 excluded only for wq,grouped_physical_interpolation,photon_geometry,90,median across registered fold/seed NMAE values,0.1036563598998301,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown; target=k; k=0 excluded only for wq,grouped_physical_interpolation,ringdown,90,median across registered fold/seed NMAE values,0.0253475169551665,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown; target=identifiable_wq; k=0 excluded only for wq,grouped_physical_interpolation,ringdown,90,median across registered fold/seed NMAE values,0.0728975978980645,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown_plus_all_shooting; target=k; k=0 excluded only for wq,grouped_physical_interpolation,ringdown_plus_all_shooting,90,median across registered fold/seed NMAE values,0.0372946603541348,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown_plus_all_shooting; target=identifiable_wq; k=0 excluded only for wq,grouped_physical_interpolation,ringdown_plus_all_shooting,90,median across registered fold/seed NMAE values,0.0827232734767754,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown_plus_photon_geometry; target=k; k=0 excluded only for wq,grouped_physical_interpolation,ringdown_plus_photon_geometry,90,median across registered fold/seed NMAE values,0.0343872685032601,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown_plus_photon_geometry; target=identifiable_wq; k=0 excluded only for wq,grouped_physical_interpolation,ringdown_plus_photon_geometry,90,median across registered fold/seed NMAE values,0.0737505742892194,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=all_shooting; target=k; k=0 excluded only for wq,random_interpolation,all_shooting,5,median across registered fold/seed NMAE values,0.0238380311480467,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=all_shooting; target=identifiable_wq; k=0 excluded only for wq,random_interpolation,all_shooting,5,median across registered fold/seed NMAE values,0.0652983978541262,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=photon_geometry; target=k; k=0 excluded only for wq,random_interpolation,photon_geometry,5,median across registered fold/seed NMAE values,0.0254059366670984,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=photon_geometry; target=identifiable_wq; k=0 excluded only for wq,random_interpolation,photon_geometry,5,median across registered fold/seed NMAE values,0.0480550241899358,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown; target=k; k=0 excluded only for wq,random_interpolation,ringdown,5,median across registered fold/seed NMAE values,0.0256913456963187,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown; target=identifiable_wq; k=0 excluded only for wq,random_interpolation,ringdown,5,median across registered fold/seed NMAE values,0.0581181700687056,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown_plus_all_shooting; target=k; k=0 excluded only for wq,random_interpolation,ringdown_plus_all_shooting,5,median across registered fold/seed NMAE values,0.0418014844364117,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown_plus_all_shooting; target=identifiable_wq; k=0 excluded only for wq,random_interpolation,ringdown_plus_all_shooting,5,median across registered fold/seed NMAE values,0.0603340713031544,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown_plus_photon_geometry; target=k; k=0 excluded only for wq,random_interpolation,ringdown_plus_photon_geometry,5,median across registered fold/seed NMAE values,0.0205580609535946,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=MLP; feature_set=ringdown_plus_photon_geometry; target=identifiable_wq; k=0 excluded only for wq,random_interpolation,ringdown_plus_photon_geometry,5,median across registered fold/seed NMAE values,0.038305742245012,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=all_shooting; target=k; k=0 excluded only for wq,directional_extrapolation,all_shooting,20,median across registered fold/seed NMAE values,0.1999999999999999,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=all_shooting; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,all_shooting,20,median across registered fold/seed NMAE values,0.1918518518518517,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=photon_geometry; target=k; k=0 excluded only for wq,directional_extrapolation,photon_geometry,20,median across registered fold/seed NMAE values,0.2166666666666666,PASS
