method,protocol,direction,fold,seed,feature_set,k_NMAE,identifiable_wq_NMAE
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,ringdown_plus_photon_geometry,0.0696969696969697,0.1904761904761905
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,all_shooting,0.1606060606060606,0.1904761904761905
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,photon_geometry,0.23030303030303031,0.2063492063492064
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,ringdown,0.05757575757575758,0.25015873015873025
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,ringdown_plus_all_shooting,0.10606060606060606,0.19365079365079368
Nearest physical model,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,ringdown_plus_photon_geometry,0.07575757575757576,0.19682539682539688
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2026,all_shooting,0.11250000000000002,0.2044973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2026,photon_geometry,0.125,0.2044973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2026,ringdown,0.00625,0.25634920634920627
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2026,ringdown_plus_all_shooting,0.0875,0.194973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2026,ringdown_plus_photon_geometry,0.0875,0.194973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2027,all_shooting,0.1,0.18544973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2027,photon_geometry,0.1125,0.18544973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2027,ringdown,0.00625,0.25634920634920627
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2027,ringdown_plus_all_shooting,0.08125,0.17592592592592593
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2027,ringdown_plus_photon_geometry,0.07500000000000001,0.17592592592592593
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2028,all_shooting,0.125,0.2235449735449736
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2028,photon_geometry,0.1375,0.21402116402116403
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2028,ringdown,0.018750000000000003,0.30238095238095236
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2028,ringdown_plus_all_shooting,0.0875,0.194973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2028,ringdown_plus_photon_geometry,0.0875,0.194973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2029,all_shooting,0.11250000000000002,0.2044973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2029,photon_geometry,0.13125,0.2044973544973545
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2029,ringdown,0.00625,0.29444444444444445
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2029,ringdown_plus_all_shooting,0.09375,0.19497354497354502
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2029,ringdown_plus_photon_geometry,0.07500000000000001,0.18650793650793654
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2030,all_shooting,0.1375,0.25000000000000006
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2030,photon_geometry,0.15625,0.24047619047619054
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2030,ringdown,0.025,0.3420634920634921
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2030,ringdown_plus_all_shooting,0.10625000000000001,0.2404761904761905
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g0,2030,ringdown_plus_photon_geometry,0.10625000000000001,0.2404761904761905
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2026,all_shooting,0.0625,0.1941798941798942
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2026,photon_geometry,0.1125,0.20211640211640214
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2026,ringdown,0.00625,0.19417989417989423
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2026,ringdown_plus_all_shooting,0.043750000000000004,0.1941798941798942
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2026,ringdown_plus_photon_geometry,0.03125,0.1941798941798942
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2027,all_shooting,0.0625,0.17830687830687839
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2027,photon_geometry,0.10625,0.1941798941798942
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2027,ringdown,0.0,0.17301587301587315
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2027,ringdown_plus_all_shooting,0.037500000000000006,0.16243386243386249
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2027,ringdown_plus_photon_geometry,0.018750000000000003,0.17619047619047623
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2028,all_shooting,0.0625,0.17037037037037042
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2028,photon_geometry,0.09375,0.18783068783068788
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2028,ringdown,0.00625,0.17936507936507948
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2028,ringdown_plus_all_shooting,0.03125,0.15449735449735455
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2028,ringdown_plus_photon_geometry,0.018750000000000003,0.16031746031746033
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2029,all_shooting,0.06875,0.18624338624338632
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2029,photon_geometry,0.10625000000000001,0.20370370370370375
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2029,ringdown,0.0125,0.20317460317460326
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2029,ringdown_plus_all_shooting,0.037500000000000006,0.17037037037037042
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2029,ringdown_plus_photon_geometry,0.025,0.16190476190476197
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2030,all_shooting,0.06875,0.18624338624338632
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2030,photon_geometry,0.1,0.2116402116402117
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2030,ringdown,0.0125,0.21904761904761916
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2030,ringdown_plus_all_shooting,0.043750000000000004,0.17830687830687833
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2030,ringdown_plus_photon_geometry,0.025,0.17777777777777784
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2026,all_shooting,0.041666666666666664,0.1481481481481482
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2026,photon_geometry,0.06666666666666667,0.26031746031746034
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2026,ringdown,0.0,0.19047619047619058
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2026,ringdown_plus_all_shooting,0.025000000000000005,0.17989417989417994
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2026,ringdown_plus_photon_geometry,0.008333333333333333,0.19047619047619058
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2027,all_shooting,0.041666666666666664,0.1481481481481482
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2027,photon_geometry,0.06666666666666667,0.26031746031746034
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2027,ringdown,0.0,0.19047619047619058
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2027,ringdown_plus_all_shooting,0.025000000000000005,0.17989417989417994
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2027,ringdown_plus_photon_geometry,0.008333333333333333,0.19047619047619058
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2028,all_shooting,0.049999999999999996,0.16931216931216939
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2028,photon_geometry,0.075,0.24973544973544978
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2028,ringdown,0.008333333333333333,0.2793650793650795
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2028,ringdown_plus_all_shooting,0.041666666666666664,0.17989417989417997
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2028,ringdown_plus_photon_geometry,0.03333333333333333,0.23280423280423287
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2029,all_shooting,0.041666666666666664,0.1481481481481482
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2029,photon_geometry,0.06666666666666667,0.26031746031746034
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2029,ringdown,0.0,0.19047619047619058
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2029,ringdown_plus_all_shooting,0.025000000000000005,0.17989417989417994
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2029,ringdown_plus_photon_geometry,0.008333333333333333,0.19047619047619058
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2030,all_shooting,0.049999999999999996,0.16931216931216939
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2030,photon_geometry,0.075,0.27089947089947086
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2030,ringdown,0.0,0.22222222222222232
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2030,ringdown_plus_all_shooting,0.03333333333333333,0.16931216931216939
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2030,ringdown_plus_photon_geometry,0.016666666666666666,0.2328042328042329
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2026,all_shooting,0.21874999999999997,0.10793650793650797
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2026,photon_geometry,0.29374999999999996,0.1277777777777778
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2026,ringdown,0.08125000000000002,0.24365079365079367
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2026,ringdown_plus_all_shooting,0.21874999999999997,0.10793650793650797
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2026,ringdown_plus_photon_geometry,0.19999999999999998,0.10158730158730163
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2027,all_shooting,0.21875,0.11785714285714291
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2027,photon_geometry,0.24375,0.10694444444444448
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2027,ringdown,0.06875,0.23571428571428568
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2027,ringdown_plus_all_shooting,0.16875,0.09345238095238098
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2027,ringdown_plus_photon_geometry,0.15625,0.08134920634920642
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2028,all_shooting,0.21249999999999997,0.10694444444444448
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2028,photon_geometry,0.27499999999999997,0.12043650793650795
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2028,ringdown,0.06875,0.23015873015873012
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2028,ringdown_plus_all_shooting,0.19999999999999996,0.09980158730158734
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2028,ringdown_plus_photon_geometry,0.175,0.09325396825396831
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2029,all_shooting,0.20624999999999996,0.10694444444444448
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2029,photon_geometry,0.2375,0.11785714285714291
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2029,ringdown,0.08125000000000002,0.24999999999999994
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2029,ringdown_plus_all_shooting,0.175,0.09980158730158734
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2029,ringdown_plus_photon_geometry,0.16249999999999998,0.09325396825396831
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2030,all_shooting,0.21249999999999997,0.10694444444444448
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2030,photon_geometry,0.26874999999999993,0.12043650793650795
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2030,ringdown,0.06875,0.23015873015873012
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2030,ringdown_plus_all_shooting,0.19374999999999998,0.09980158730158734
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g3,2030,ringdown_plus_photon_geometry,0.18124999999999997,0.09325396825396831
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g4,2026,all_shooting,0.1875,0.12579365079365076
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g4,2026,photon_geometry,0.2375,0.12539682539682534
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g4,2026,ringdown,0.05625,0.2194444444444445
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g4,2026,ringdown_plus_all_shooting,0.11250000000000002,0.10396825396825396
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g4,2026,ringdown_plus_photon_geometry,0.10625000000000001,0.10396825396825396
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g4,2027,all_shooting,0.15625,0.10714285714285712
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g4,2027,photon_geometry,0.21874999999999997,0.11190476190476191
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g4,2027,ringdown,0.05,0.19404761904761908
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g4,2027,ringdown_plus_all_shooting,0.11875000000000001,0.10357142857142859
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g4,2027,ringdown_plus_photon_geometry,0.09375,0.10952380952380955
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g4,2028,all_shooting,0.175,0.11944444444444441
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g4,2028,photon_geometry,0.22499999999999998,0.11944444444444438
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g4,2028,ringdown,0.0625,0.21309523809523817
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g4,2028,ringdown_plus_all_shooting,0.125,0.09761904761904762
