method,protocol,direction,fold,seed,feature_set,n_test,n_wq_scored,MAE_k,NMAE_k,MAE_identifiable_wq,NMAE_identifiable_wq
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2029,ringdown_plus_photon_geometry,16,12,6.25e-05,0.025,0.04250000000000002,0.16190476190476197
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2030,all_shooting,16,12,0.000171875,0.06875,0.048888888888888905,0.18624338624338632
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2030,photon_geometry,16,12,0.00025,0.1,0.05555555555555557,0.2116402116402117
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2030,ringdown,16,12,3.125e-05,0.0125,0.05750000000000003,0.21904761904761916
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2030,ringdown_plus_all_shooting,16,12,0.000109375,0.043750000000000004,0.04680555555555557,0.17830687830687833
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g1,2030,ringdown_plus_photon_geometry,16,12,6.25e-05,0.025,0.04666666666666669,0.17777777777777784
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2026,all_shooting,12,9,0.00010416666666666667,0.041666666666666664,0.0388888888888889,0.1481481481481482
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2026,photon_geometry,12,9,0.00016666666666666666,0.06666666666666667,0.06833333333333333,0.26031746031746034
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2026,ringdown,12,9,0.0,0.0,0.050000000000000024,0.19047619047619058
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2026,ringdown_plus_all_shooting,12,9,6.25e-05,0.025000000000000005,0.04722222222222224,0.17989417989417994
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2026,ringdown_plus_photon_geometry,12,9,2.0833333333333333e-05,0.008333333333333333,0.050000000000000024,0.19047619047619058
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2027,all_shooting,12,9,0.00010416666666666667,0.041666666666666664,0.0388888888888889,0.1481481481481482
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2027,photon_geometry,12,9,0.00016666666666666666,0.06666666666666667,0.06833333333333333,0.26031746031746034
Nearest physical model,grouped_physical_interpolation,,blocks_3x3_g2,2027,ringdown,12,9,0.0,0.0,0.050000000000000024,0.19047619047619058
