k,wq,observable_set,sigma_max_81,sigma_min_81,condition_number_81,cosine_similarity_81,sensitivity_angle_deg_81,numerical_rank_81,gram_determinant_81,derivative_scheme_k_81,derivative_scheme_wq_81,derivative_quality_81,missing_features_81,feature_count_81,rank_tolerance_81,parameter_k_scale_81,parameter_wq_scale_81,sigma_max_161,sigma_min_161,condition_number_161,cosine_similarity_161,sensitivity_angle_deg_161,numerical_rank_161,gram_determinant_161,derivative_scheme_k_161,derivative_scheme_wq_161,derivative_quality_161,missing_features_161,feature_count_161,rank_tolerance_161,parameter_k_scale_161,parameter_wq_scale_161,sigma_max_321,sigma_min_321,condition_number_321,cosine_similarity_321,sensitivity_angle_deg_321,numerical_rank_321,gram_determinant,derivative_scheme_k,derivative_scheme_wq,derivative_quality_321,missing_features,feature_count,rank_tolerance,parameter_k_scale,parameter_wq_scale
0.0,-0.45,ringdown_only,1.4614935019123765,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.4614935019123762e-10,0.0025,0.2625,1.4614935019123765,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.4614935019123762e-10,0.0025,0.2625,1.461493501912448,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.461493501912448e-10,0.0025,0.2625
0.0,-0.45,ringdown_plus_photon_geometry,1.5332143307126511,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.5332143307126514e-10,0.0025,0.2625,1.5332490208273035,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.5332490208273038e-10,0.0025,0.2625,1.5204510851805126,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.5204510851805128e-10,0.0025,0.2625
0.0,-0.45,ringdown_plus_all_shooting,1.8770060234589905,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.8770060234589902e-10,0.0025,0.2625,1.8774099464613383,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.8774099464613387e-10,0.0025,0.2625,1.831923801510072,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.8319238015100722e-10,0.0025,0.2625
0.00025,-0.58,orbital,1.991283274698736,0.0285099362685994,69.84523767216962,-0.9987351076196864,177.11789229114058,2,0.0032229872315902,central,central,central,,18,1.9912832746987363e-10,0.0025,0.2625,1.9918486969181235,0.0284227330657341,70.07942171892883,-0.9987433799369956,177.12733413406866,2,0.0032051205183988,central,central,central,,18,1.991848696918124e-10,0.0025,0.2625,1.944182346731935,0.03733828812895211,52.06940232550233,-0.9978220827633018,176.21786375756858,2,0.005269662437709077,central,central,central,,18,1.944182346731935e-10,0.0025,0.2625
0.00025,-0.58,photon_geometry,2.3008770078395067,0.1248561978902785,18.42821619365245,-0.9828789169201444,169.38243729754777,2,0.0825290830812449,central,central,central,,27,2.3008770078395067e-10,0.0025,0.2625,2.3013942001382413,0.1248940059524783,18.426778631905773,-0.982875949035537,169.38151443446836,2,0.0826162008877472,central,central,central,,27,2.3013942001382407e-10,0.0025,0.2625,2.270511298111206,0.12418486568426525,18.283317259317933,-0.9829901730879086,169.41708976603084,2,0.0795032126516847,central,central,central,,27,2.270511298111206e-10,0.0025,0.2625
0.00025,-0.58,redshift,1.0321620332139416,0.0647763142885832,15.934250729604406,-0.9789224882480884,168.21544776290366,2,0.0044702131003561,central,central,central,,9,1.0321620332139416e-10,0.0025,0.2625,1.0323339311205046,0.0648379033271857,15.92176609893028,-0.9788854773850612,168.2050691505888,2,0.0044802095696752,central,central,central,,9,1.0323339311205047e-10,0.0025,0.2625,1.0279059166937385,0.063349768296303,16.225882814376856,-0.9798314068936603,168.47321819802391,2,0.00424030204503187,central,central,central,,9,1.0279059166937386e-10,0.0025,0.2625
0.00025,-0.58,timing,2.3040176928523657,0.2363530502176488,9.748203760140523,-0.8646030123486758,149.83740532487226,2,0.2965473464988492,central,central,central,,17,2.3040176928523654e-10,0.0025,0.2625,2.3030180023129203,0.2367460284404133,9.727799944456375,-0.8639127540415638,149.75878690563178,2,0.2972761514353024,central,central,central,,17,2.3030180023129203e-10,0.0025,0.2625,2.270467623028835,0.23753479186231594,9.558463436989404,-0.8627772135462812,149.62985312066436,2,0.2908607277582424,central,central,central,,17,2.2704676230288354e-10,0.0025,0.2625
0.00025,-0.58,all_shooting,3.946832750649575,0.3634170295157417,10.860340683288245,-0.9390406580244548,159.89106656942838,2,2.057349119668464,central,central,central,,71,3.9468327506495744e-10,0.0025,0.2625,3.946864437607381,0.3638706796137793,10.846887805845402,-0.938887144881886,159.8654989652537,2,2.062521782350909,central,central,central,,71,3.9468644376073806e-10,0.0025,0.2625,3.884638555350487,0.3653979288243065,10.63125499328796,-0.9381719169988381,159.7467856603574,2,2.0148067407443686,central,central,central,,71,3.8846385553504873e-10,0.0025,0.2625
0.00025,-0.58,ringdown_only,1.875155345205848,0.0552870075443852,33.91674515392147,-0.8500300763112926,148.21494079851806,2,0.0107478271278879,central,central,central,,4,1.8751553452058478e-10,0.0025,0.2625,1.875155345205848,0.0552870075443852,33.91674515392147,-0.8500300763112926,148.21494079851806,2,0.0107478271278879,central,central,central,,4,1.8751553452058478e-10,0.0025,0.2625,1.8751553452057368,0.0552870075444225,33.916745153896606,-0.8500300763112065,148.2149407985087,2,0.010747827127901139,central,central,central,,4,1.875155345205737e-10,0.0025,0.2625
0.00025,-0.58,ringdown_plus_photon_geometry,2.943859141913419,0.4032141487921267,7.300981750596004,-0.819872685008113,145.0720510644576,2,1.4089824322914732,central,central,central,,31,2.9438591419134193e-10,0.0025,0.2625,2.9442597325487143,0.4032525589531218,7.30127972452863,-0.8199167856858303,145.07646454847753,2,1.4096344427913148,central,central,central,,31,2.9442597325487147e-10,0.0025,0.2625,2.9196916213508333,0.4065814725073691,7.181073951415519,-0.8161145055968301,144.6977111902635,2,1.4091886478971238,central,central,central,,31,2.9196916213508335e-10,0.0025,0.2625
