feature_set,row_id,point_id,k,wq,neighbor_row_id,neighbor_point_id,neighbor_k,neighbor_wq,d_O,d_theta
ringdown,82,k0p001750000_wqm0p580000000,0.00175,-0.58,83,k0p001750000_wqm0p550000000,0.00175,-0.55,0.04082671044610864,0.11428571428571396
ringdown,83,k0p001750000_wqm0p550000000,0.00175,-0.55,84,k0p001750000_wqm0p525000000,0.00175,-0.525,0.03232069694565453,0.09523809523809532
ringdown,84,k0p001750000_wqm0p525000000,0.00175,-0.525,85,k0p001750000_wqm0p500000000,0.00175,-0.5,0.030894736835512845,0.09523809523809532
ringdown,85,k0p001750000_wqm0p500000000,0.00175,-0.5,86,k0p001750000_wqm0p475000000,0.00175,-0.475,0.02955902875569769,0.09523809523809532
ringdown,86,k0p001750000_wqm0p475000000,0.00175,-0.475,87,k0p001750000_wqm0p450000000,0.00175,-0.45,0.0282956041255423,0.09523809523809511
ringdown,87,k0p001750000_wqm0p450000000,0.00175,-0.45,86,k0p001750000_wqm0p475000000,0.00175,-0.475,0.0282956041255423,0.09523809523809511
ringdown,88,k0p002000000_wqm0p712500000,0.002,-0.7125,89,k0p002000000_wqm0p690000000,0.002,-0.69,0.04768905369709735,0.08571428571428599
ringdown,89,k0p002000000_wqm0p690000000,0.002,-0.69,90,k0p002000000_wqm0p666666667,0.002,-0.6666666666666666,0.04651232791289493,0.08888888888888882
ringdown,90,k0p002000000_wqm0p666666667,0.002,-0.6666666666666666,89,k0p002000000_wqm0p690000000,0.002,-0.69,0.04651232791289493,0.08888888888888882
ringdown,91,k0p002000000_wqm0p640000000,0.002,-0.64,90,k0p002000000_wqm0p666666667,0.002,-0.6666666666666666,0.049971347962895186,0.10158730158730139
ringdown,92,k0p002000000_wqm0p610000000,0.002,-0.61,93,k0p002000000_wqm0p580000000,0.002,-0.58,0.0494878981514326,0.11428571428571438
ringdown,93,k0p002000000_wqm0p580000000,0.002,-0.58,106,k0p002250000_wqm0p525000000,0.00225,-0.525,0.04515686874754738,0.2321642236809313
ringdown,94,k0p002000000_wqm0p550000000,0.002,-0.55,95,k0p002000000_wqm0p525000000,0.002,-0.525,0.03693793936645811,0.09523809523809532
ringdown,95,k0p002000000_wqm0p525000000,0.002,-0.525,108,k0p002250000_wqm0p475000000,0.00225,-0.475,0.03501047934910423,0.21513060948717186
ringdown,96,k0p002000000_wqm0p500000000,0.002,-0.5,109,k0p002250000_wqm0p450000000,0.00225,-0.45,0.031470379366028325,0.2151306094871717
ringdown,97,k0p002000000_wqm0p475000000,0.002,-0.475,98,k0p002000000_wqm0p450000000,0.002,-0.45,0.03233783328633683,0.09523809523809511
ringdown,98,k0p002000000_wqm0p450000000,0.002,-0.45,97,k0p002000000_wqm0p475000000,0.002,-0.475,0.03233783328633683,0.09523809523809511
ringdown,99,k0p002250000_wqm0p712500000,0.00225,-0.7125,100,k0p002250000_wqm0p690000000,0.00225,-0.69,0.05365018540923598,0.08571428571428599
ringdown,100,k0p002250000_wqm0p690000000,0.00225,-0.69,101,k0p002250000_wqm0p666666667,0.00225,-0.6666666666666666,0.05232636890202106,0.08888888888888882
ringdown,101,k0p002250000_wqm0p666666667,0.00225,-0.6666666666666666,100,k0p002250000_wqm0p690000000,0.00225,-0.69,0.05232636890202106,0.08888888888888882
ringdown,102,k0p002250000_wqm0p640000000,0.00225,-0.64,101,k0p002250000_wqm0p666666667,0.00225,-0.6666666666666666,0.056217766458234196,0.10158730158730139
ringdown,103,k0p002250000_wqm0p610000000,0.00225,-0.61,104,k0p002250000_wqm0p580000000,0.00225,-0.58,0.05567388542035557,0.11428571428571438
ringdown,104,k0p002250000_wqm0p580000000,0.00225,-0.58,117,k0p002500000_wqm0p525000000,0.0025,-0.525,0.04880549068725577,0.23216422368093137
ringdown,105,k0p002250000_wqm0p550000000,0.00225,-0.55,118,k0p002500000_wqm0p500000000,0.0025,-0.5,0.040368094937920936,0.21513060948717191
ringdown,106,k0p002250000_wqm0p525000000,0.00225,-0.525,119,k0p002500000_wqm0p475000000,0.0025,-0.475,0.03623296649372493,0.21513060948717191
