protocol,fold,feature_set,target,noise,realization,R2,MAE,RMSE,NMAE,NRMSE
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.01,3,-44.69351140903287,0.13646353513092924,0.13798174910870284,0.5198610862130637,0.5256447585093441
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.0,4,-0.12012082012480074,0.00025000000000000006,0.00029581994366886436,0.10000000000000002,0.11832797746754574
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.0,4,-43.46951983613677,0.13458194504361884,0.13612114677150758,0.5126931239756908,0.5185567496057432
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.001,4,-0.12012082012480074,0.00025000000000000006,0.00029581994366886436,0.10000000000000002,0.11832797746754574
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.001,4,-43.55758986266737,0.13471820877710403,0.13625587122314423,0.5132122239127772,0.519069985611978
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.005,4,-0.12000717085607615,0.00025000000000000006,0.00029580493610339054,0.10000000000000002,0.11832197444135621
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.005,4,-43.473892554396045,0.13458871385693902,0.13612783904966563,0.5127189099311963,0.5185822439987262
grouped_physical_interpolation,blocks_3x3_g2,ringdown,k,0.01,4,-0.11873582424464013,0.00025000000000000006,0.0002956370008458219,0.10000000000000002,0.11825480033832876
grouped_physical_interpolation,blocks_3x3_g2,ringdown,wq,0.01,4,-43.65534719946993,0.13486929969336658,0.13640525893984365,0.5137878083556822,0.5196390816755948
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.0,0,0.6097353674985158,0.00014853314352548073,0.00017461221152650938,0.059413257410192294,0.06984488461060374
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.0,0,-6.1880038786356355,0.06635733184111253,0.07224767300097708,0.2527898355851906,0.27522923047991266
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.001,0,0.6085147655385426,0.00014884283753451738,0.00017488505923120295,0.05953713501380695,0.06995402369248117
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.001,0,-6.1880038786356355,0.06635733184111253,0.07224767300097708,0.2527898355851906,0.27522923047991266
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.005,0,0.6387516810843792,0.00014481838934391283,0.0001679956098095509,0.057927355737565134,0.06719824392382036
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.005,0,-5.5631001590408315,0.06189070230424044,0.06903577875495777,0.23577410401615403,0.2629934428760296
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.01,0,0.6725499200372931,0.0001308181746634025,0.00015994385732839657,0.052327269865360994,0.06397754293135863
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.01,0,-5.445784545893526,0.0613411092698203,0.06841598825959853,0.2336804162659821,0.260632336227042
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.0,1,0.6097353674985158,0.00014853314352548073,0.00017461221152650938,0.059413257410192294,0.06984488461060374
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.0,1,-6.1880038786356355,0.06635733184111253,0.07224767300097708,0.2527898355851906,0.27522923047991266
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.001,1,0.5901784301275763,0.0001582083596104874,0.00017893381498834451,0.06328334384419496,0.0715735259953378
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.001,1,-6.801950091402859,0.06986812213251536,0.0752698925635638,0.2661642747905347,0.2867424478611954
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.005,1,0.5678884049239603,0.0001625685760808281,0.0001837354575614506,0.06502743043233124,0.07349418302458023
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.005,1,-6.837144757085356,0.07007590166982286,0.0754394731085729,0.26695581588503947,0.28738846898503956
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.01,1,0.5098263545444467,0.000178915431096682,0.00019569061308916967,0.0715661724386728,0.07827624523566787
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.01,1,-7.064304707627938,0.07083536389095652,0.07652497154595686,0.26984900529888195,0.2915237011274547
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.0,2,0.6097353674985158,0.00014853314352548073,0.00017461221152650938,0.059413257410192294,0.06984488461060374
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.0,2,-6.1880038786356355,0.06635733184111253,0.07224767300097708,0.2527898355851906,0.27522923047991266
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.001,2,0.6085147655385426,0.00014884283753451738,0.00017488505923120295,0.05953713501380695,0.06995402369248117
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.001,2,-6.1880038786356355,0.06635733184111253,0.07224767300097708,0.2527898355851906,0.27522923047991266
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.005,2,0.6352310559772885,0.0001474381021240591,0.00016881224408132943,0.05897524084962364,0.06752489763253178
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.005,2,-7.3587842947570365,0.07228747794683991,0.07790965321476069,0.27538086836891396,0.296798678913374
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.01,2,0.7593950913938661,0.0001104423335371095,0.00013710309436644458,0.0441769334148438,0.05484123774657783
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.01,2,-7.500762880847937,0.07225754627777875,0.07856853645140495,0.27526684296296666,0.2993087102910665
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.0,3,0.6097353674985158,0.00014853314352548073,0.00017461221152650938,0.059413257410192294,0.06984488461060374
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.0,3,-6.1880038786356355,0.06635733184111253,0.07224767300097708,0.2527898355851906,0.27522923047991266
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.001,3,0.5902036369953543,0.0001581994074986436,0.0001789283120686549,0.06327976299945744,0.07157132482746195
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.001,3,-6.801950091402859,0.06986812213251536,0.0752698925635638,0.2661642747905347,0.2867424478611954
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.005,3,0.610396994900867,0.00015105457440506786,0.00017446413606632676,0.06042182976202714,0.0697856544265307
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.005,3,-6.431923842397123,0.06645972823618818,0.07346328383274685,0.2531799170902407,0.2798601288866546
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.01,3,0.5683846194135509,0.00015795725081144135,0.00018362993113410552,0.06318290032457653,0.07345197245364221
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.01,3,-6.954914068551572,0.06807636836974496,0.07600417662618268,0.259338546170457,0.28953972048069593
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.0,4,0.6097353674985158,0.00014853314352548073,0.00017461221152650938,0.059413257410192294,0.06984488461060374
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.0,4,-6.1880038786356355,0.06635733184111253,0.07224767300097708,0.2527898355851906,0.27522923047991266
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.001,4,0.6128211013283229,0.0001497897800475438,0.0001739205320217391,0.059915912019017525,0.06956821280869564
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.001,4,-6.770524990992836,0.06912278873147593,0.07511815161759258,0.2633249094532416,0.2861643871146384
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.005,4,0.6182970957234672,0.00015119148625472882,0.00017268624553392817,0.06047659450189153,0.06907449821357127
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.005,4,-7.489117450085345,0.07306391072531965,0.07851470139931563,0.2783387075250272,0.29910362437834526
grouped_physical_interpolation,blocks_3x3_g3,ringdown,k,0.01,4,0.535352618053544,0.00016583874839914763,0.00019052710230979444,0.06633549935965906,0.07621084092391778
grouped_physical_interpolation,blocks_3x3_g3,ringdown,wq,0.01,4,-8.574444304545283,0.07757625594122991,0.08338280501826932,0.29552859406182824,0.31764878102197835
grouped_physical_interpolation,blocks_3x3_g4,ringdown,k,0.0,0,0.917027786164709,6.840587678178211e-05,8.051213700978324e-05,0.027362350712712844,0.032204854803913295
grouped_physical_interpolation,blocks_3x3_g4,ringdown,wq,0.0,0,0.15903703714254025,0.02334401360837597,0.02924751295036163,0.08892957565095608,0.11141909695375858
grouped_physical_interpolation,blocks_3x3_g4,ringdown,k,0.001,0,0.8923266240912204,8.024688758775219e-05,9.171686046127726e-05,0.03209875503510087,0.03668674418451091
grouped_physical_interpolation,blocks_3x3_g4,ringdown,wq,0.001,0,0.10700262378030101,0.024649971706667308,0.030138775167937296,0.09390465412063737,0.11481438159214208
grouped_physical_interpolation,blocks_3x3_g4,ringdown,k,0.005,0,0.8721472914195779,8.906764182105932e-05,9.994244772790728e-05,0.03562705672842373,0.03997697909116291
grouped_physical_interpolation,blocks_3x3_g4,ringdown,wq,0.005,0,0.06164309696988779,0.025608680595548494,0.030894739233418702,0.09755687845923236,0.1176942446987379
grouped_physical_interpolation,blocks_3x3_g4,ringdown,k,0.01,0,0.8767063248527328,9.034864628178214e-05,9.814437513622596e-05,0.03613945851271286,0.039257750054490385
grouped_physical_interpolation,blocks_3x3_g4,ringdown,wq,0.01,0,-0.03367705377073049,0.026000018810009264,0.032425967651442775,0.09904769070479719,0.1235274958150201
