protocol,direction,model,feature_set,target,metric,mean,std,median,q25,q75,n
directional_extrapolation,high_k_to_low_k,mlp,orbital,wq,R2,-0.2668515444877167,0.03670395942961149,-0.26772855042316945,-0.26857008387237946,-0.2592630884513931,5
directional_extrapolation,high_k_to_low_k,mlp,orbital,wq,MAE,0.08165361713386098,0.0009808221257460745,0.08181497948125648,0.08144950958199101,0.08191595933005437,5
directional_extrapolation,high_k_to_low_k,mlp,orbital,wq,RMSE,0.09590913082768415,0.00138780626577606,0.09595035776299701,0.09562945915376085,0.09598219898010626,5
directional_extrapolation,high_k_to_low_k,mlp,orbital,wq,NMAE,0.31106139860518467,0.0037364652409374215,0.31167611230954845,0.31028384602663245,0.31206079744782617,5
directional_extrapolation,high_k_to_low_k,mlp,orbital,wq,NRMSE,0.36536811743879677,0.005286881012480221,0.3655251724304648,0.36430270153813654,0.3656464723051667,5
directional_extrapolation,high_k_to_low_k,mlp,orbital,wq,joint_error_median,0.5283214647944835,0.12077308122025734,0.5422494103406567,0.5319253114662212,0.6063213966667839,5
directional_extrapolation,high_k_to_low_k,mlp,photon_geometry,k,R2,-5.028298128078694,10.43521669000775,-0.12898820356847085,-1.3276545967989004,-0.08782289723789227,5
directional_extrapolation,high_k_to_low_k,mlp,photon_geometry,k,MAE,0.00037031978194670766,0.00035343746761301906,0.00019534315193812872,0.0001871562415787778,0.0002866150569453591,5
directional_extrapolation,high_k_to_low_k,mlp,photon_geometry,k,RMSE,0.0003903464610312575,0.00035144119179159695,0.0002168897764964644,0.00021289892919312402,0.0003114251245483482,5
directional_extrapolation,high_k_to_low_k,mlp,photon_geometry,k,NMAE,0.14812791277868306,0.1413749870452076,0.07813726077525149,0.07486249663151112,0.11464602277814365,5
directional_extrapolation,high_k_to_low_k,mlp,photon_geometry,k,NRMSE,0.15613858441250303,0.14057647671663878,0.08675591059858576,0.08515957167724961,0.12457004981933928,5
directional_extrapolation,high_k_to_low_k,mlp,photon_geometry,k,joint_error_median,0.26630057090736303,0.12661394879075422,0.20094187202932753,0.1917441224777787,0.28838369413945597,5
directional_extrapolation,high_k_to_low_k,mlp,photon_geometry,wq,R2,0.5112645552335825,0.25582421899767177,0.6253713123097282,0.5307430544551587,0.6319261652040286,5
directional_extrapolation,high_k_to_low_k,mlp,photon_geometry,wq,MAE,0.049413520416188086,0.011689787297432985,0.04488180933630689,0.04309570960452922,0.048262478751089334,5
directional_extrapolation,high_k_to_low_k,mlp,photon_geometry,wq,RMSE,0.05822368749366876,0.014110559199948722,0.05215956710204589,0.05170123719825285,0.058376602760175075,5
directional_extrapolation,high_k_to_low_k,mlp,photon_geometry,wq,NMAE,0.18824198253785937,0.044532523037839944,0.17097832128116908,0.16417413182677798,0.18385706190891174,5
directional_extrapolation,high_k_to_low_k,mlp,photon_geometry,wq,NRMSE,0.2218045237854048,0.05375451123789989,0.19870311276969863,0.19695709408858228,0.22238705813400028,5
directional_extrapolation,high_k_to_low_k,mlp,photon_geometry,wq,joint_error_median,0.23552195169418272,0.10327895200789439,0.17717418244262537,0.1710363170522698,0.2625802274904157,5
directional_extrapolation,high_k_to_low_k,mlp,redshift,k,R2,-29.242887409073568,15.84670093854034,-35.34874030552954,-38.010592680968074,-33.171872382360995,5
directional_extrapolation,high_k_to_low_k,mlp,redshift,k,MAE,0.0010379640828313955,0.0004380554544658315,0.0012183484015642946,0.0011819882174730096,0.001260290815461295,5
directional_extrapolation,high_k_to_low_k,mlp,redshift,k,RMSE,0.0010564069026790701,0.000424447824654887,0.001230662766993351,0.0011932426475498219,0.0012749279829492343,5
directional_extrapolation,high_k_to_low_k,mlp,redshift,k,NMAE,0.4151856331325581,0.1752221817863326,0.4873393606257178,0.4727952869892038,0.504116326184518,5
directional_extrapolation,high_k_to_low_k,mlp,redshift,k,NRMSE,0.42256276107162805,0.1697791298619548,0.49226510679734037,0.47729705901992875,0.5099711931796937,5
directional_extrapolation,high_k_to_low_k,mlp,redshift,k,joint_error_median,0.5343799045620747,0.09886179738956052,0.569406633478821,0.5685646427796146,0.5835692884747572,5
directional_extrapolation,high_k_to_low_k,mlp,redshift,wq,R2,0.1264612463248755,0.36587650554941087,-0.10175541504929786,-0.1396930913306913,0.44861951280408374,5
directional_extrapolation,high_k_to_low_k,mlp,redshift,wq,MAE,0.06627869175698094,0.014605017571190414,0.07574372310077325,0.05352975049435393,0.07639206559063526,5
directional_extrapolation,high_k_to_low_k,mlp,redshift,wq,RMSE,0.07801675428303857,0.01792974128508343,0.08944911739228625,0.06327893470105846,0.09097612204992979,5
