protocol,direction,model,feature_set,target,target_coverage,empirical_coverage,average_width,median_width,n
directional_extrapolation,low_k_to_high_k,hgb,photon_geometry,wq,0.9,0.9818181818181818,0.2558378607015308,0.273956963099173,165
directional_extrapolation,low_k_to_high_k,hgb,redshift,k,0.9,0.14545454545454545,0.0012295464262959866,0.001108460878273849,165
directional_extrapolation,low_k_to_high_k,hgb,redshift,wq,0.9,0.9454545454545454,0.24834634758402774,0.26988928812496016,165
directional_extrapolation,low_k_to_high_k,hgb,ringdown,k,0.9,0.0,0.0005833126108658799,0.0005381900838447,165
directional_extrapolation,low_k_to_high_k,hgb,ringdown,wq,0.9,0.8484848484848485,0.275973882103284,0.2688558963211925,165
directional_extrapolation,low_k_to_high_k,hgb,ringdown_plus_all_shooting,k,0.9,0.0,0.0005929129508120999,0.0006365887241435,165
directional_extrapolation,low_k_to_high_k,hgb,ringdown_plus_all_shooting,wq,0.9,0.9515151515151515,0.23597065258821895,0.2626416306148645,165
directional_extrapolation,low_k_to_high_k,hgb,ringdown_plus_photon_geometry,k,0.9,0.006060606060606061,0.0005392732972816401,0.0005607041669457,165
directional_extrapolation,low_k_to_high_k,hgb,ringdown_plus_photon_geometry,wq,0.9,0.9696969696969697,0.2490515690434779,0.2689922723467233,165
directional_extrapolation,low_k_to_high_k,hgb,timing,k,0.9,0.3696969696969697,0.0015744787317637625,0.001063318158374918,165
directional_extrapolation,low_k_to_high_k,hgb,timing,wq,0.9,0.9575757575757575,0.2437452872868304,0.26449673702149257,165
directional_extrapolation,low_k_to_high_k,mlp,all_shooting,k,0.9,0.503030303030303,0.0010978580887258285,0.0003538879991950032,165
directional_extrapolation,low_k_to_high_k,mlp,all_shooting,wq,0.9,0.8909090909090909,0.2587824742024499,0.31724909107110744,165
directional_extrapolation,low_k_to_high_k,mlp,orbital,k,0.9,0.5272727272727272,0.0034155302260316066,0.0022125630915277956,165
directional_extrapolation,low_k_to_high_k,mlp,orbital,wq,0.9,0.9030303030303031,0.3164817364969075,0.3146369759936405,165
directional_extrapolation,low_k_to_high_k,mlp,photon_geometry,k,0.9,0.40606060606060607,0.0008177516624596936,0.00046615186455193193,165
directional_extrapolation,low_k_to_high_k,mlp,photon_geometry,wq,0.9,0.8909090909090909,0.3403186107844062,0.2809388033336657,165
directional_extrapolation,low_k_to_high_k,mlp,redshift,k,0.9,0.509090909090909,0.0020341788347279827,0.002139453533954714,165
directional_extrapolation,low_k_to_high_k,mlp,redshift,wq,0.9,0.9636363636363636,0.40304423300421266,0.3313946514014128,165
directional_extrapolation,low_k_to_high_k,mlp,ringdown,k,0.9,0.6424242424242425,0.00026899373396128203,0.000233065710897921,165
directional_extrapolation,low_k_to_high_k,mlp,ringdown,wq,0.9,0.8424242424242424,0.24885856508325388,0.2971539384554004,165
directional_extrapolation,low_k_to_high_k,mlp,ringdown_plus_all_shooting,k,0.9,0.4909090909090909,0.0004049712474940905,0.0003796791782988422,165
