protocol,direction,model,feature_set,fold,seed,target,R2,MAE,RMSE,NMAE,NRMSE,n_scored,joint_error_median
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g0,2026,k,0.9878331736167696,1.721434541743394e-05,2.2515574594073026e-05,0.006885738166973575,0.00900622983762921,9,0.07449876191841799
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g0,2026,wq,0.4144428585398783,0.012574083060028126,0.014319055948889972,0.047901268800107144,0.054548784567199894,6,0.05118995291666776
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g0,2027,k,0.886428112648688,4.8598337500344e-05,6.879071138585013e-05,0.0194393350001376,0.02751628455434005,9,0.38898624497072254
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g0,2027,wq,-16.28623493320348,0.07240619867413423,0.07780006333846362,0.2758331378062256,0.2963811936703376,6,0.27985829470817036
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g0,2028,k,-0.737317344040642,0.00018729364316724553,0.00026905059499722364,0.07491745726689822,0.10762023799888945,9,0.27172140734676914
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g0,2028,wq,-5.505832578505191,0.04563278115685565,0.04772887374520638,0.17383916631183105,0.18182428093411954,6,0.2166892232487881
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g0,2029,k,0.7007890167541289,6.857903897331528e-05,0.00011165627748546562,0.02743161558932611,0.04466251099418625,9,0.20833955572789
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g0,2029,wq,-4.015240858800961,0.03829614871197301,0.0419059453717846,0.14589009033132574,0.15964169665441752,6,0.17833631379067777
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g0,2030,k,0.8834855598388693,5.72358475348677e-05,6.9676167661885e-05,0.02289433901394708,0.027870467064754,9,0.2898636643739697
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g0,2030,wq,-7.821726254631944,0.04873276286547743,0.0555784631546215,0.185648620439914,0.21172747868427236,6,0.19135378181498922
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g1,2026,k,0.9962536614271178,9.635360568173028e-06,1.2493896131181714e-05,0.003854144227269211,0.004997558452472685,12,0.25515177673762957
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g1,2026,wq,-3.0611360943105597,0.06349865324650257,0.06759273708098658,0.24189963141524787,0.25749614126090126,8,0.2465410097444397
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g1,2027,k,0.9958007197272919,1.1938075537429883e-05,1.3227623042815958e-05,0.004775230214971953,0.005291049217126384,12,0.19654086362431217
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g1,2027,wq,-0.9914396869241515,0.0425991429180379,0.04733254322123068,0.16228244921157295,0.18031445036659305,8,0.13843951360972787
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g1,2028,k,0.9774322057712806,2.463916536964995e-05,3.066471522010227e-05,0.00985566614785998,0.012265886088040908,12,0.08797177810567319
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g1,2028,wq,0.18773045812802336,0.025037580664273418,0.030229178530121744,0.09538125967342254,0.11515877535284473,8,0.07481112964258703
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g1,2029,k,0.9340191771241989,4.6707601020536174e-05,5.243282324230098e-05,0.01868304040821447,0.02097312929692039,12,0.3939322106374117
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g1,2029,wq,-8.159821915922297,0.09675732186240485,0.10151255910187952,0.3685993213805899,0.3867145108643029,8,0.3679416510226411
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g1,2030,k,0.9624638193427775,3.568376851625403e-05,3.954753503550217e-05,0.014273507406501611,0.01581901401420087,12,0.1525966025761935
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g1,2030,wq,-0.6386545525482024,0.03958814604852699,0.04293584017597335,0.15081198494676948,0.16356510543227942,8,0.1335441130922313
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g2,2026,k,0.8866612697335774,6.62907667797714e-05,6.872006325982445e-05,0.026516306711908556,0.02748802530392978,12,0.37754546887407636
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g2,2026,wq,-9.152023599250567,0.08364541443897638,0.08905766916394404,0.3186491978627672,0.3392673111007392,8,0.31545001794432326
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g2,2027,k,0.9509309851886553,4.117215154289292e-05,4.521661512990587e-05,0.016468860617157167,0.01808664605196235,12,0.2872327272505121
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g2,2027,wq,-3.8824808513470677,0.05199782731602978,0.061761137984293155,0.19808696120392297,0.2352805256544501,8,0.19037574741732338
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g2,2028,k,0.97582500922843,2.9318121013738936e-05,3.1737852513186094e-05,0.011727248405495574,0.012695141005274437,12,0.31983698885279344
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g2,2028,wq,-5.071064157094185,0.05941913866537574,0.06886957871752836,0.22635862348714567,0.2623602998762985,8,0.22348632838365678
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g2,2029,k,0.9307070193664696,4.8803371258303146e-05,5.3732741660900744e-05,0.019521348503321257,0.021493096664360296,12,0.33741963184402257
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g2,2029,wq,-8.593052971401862,0.08218750971156343,0.08657119979477995,0.3130952750916702,0.32979504683725697,8,0.3106585736208774
