k,wq,initial_apocentre_phi,initial_apocentre_radius,next_pericentre_phi,next_pericentre_radius,next_apocentre_phi,next_apocentre_radius
0.00075,-0.475,3.141592653589793,12.0,8.318035013113628,8.000000000000025,13.494477372637473,12.00000000000001
0.00075,-0.45,3.141592653589793,12.0,8.308320573880863,8.000000000000007,13.475048494171924,12.0
0.001,-0.7125,3.141592653589793,12.0,9.354434010332604,8.000000000000002,15.5672753670754,12.000000000000005
0.001,-0.69,3.141592653589793,12.0,9.050112047245975,7.999999999999983,14.958631440902161,11.999999999999984
0.001,-0.6666666666666666,3.141592653589793,12.0,8.837387065414287,8.000000000000004,14.53318147723876,12.0
0.001,-0.64,3.141592653589793,12.0,8.671728517603924,7.999999999999968,14.201864381618053,12.000000000000032
0.001,-0.61,3.141592653589793,12.0,8.546725339157183,8.000000000000004,13.951858024724572,11.999999999999998
0.001,-0.58,3.141592653589793,12.0,8.462871834851706,8.000000000000023,13.784151016113622,12.000000000000012
0.001,-0.55,3.141592653589793,12.0,8.405770143472127,7.999999999999976,13.66994763335446,11.999999999999977
0.001,-0.525,3.141592653589793,12.0,8.372159096695873,8.000000000000023,13.602725539801957,12.000000000000004
0.001,-0.5,3.141592653589793,12.0,8.347582131865522,7.999999999999998,13.553571610141258,12.000000000000018
0.001,-0.475,3.141592653589793,12.0,8.329640825489452,8.000000000000005,13.517688997389119,11.999999999999973
0.001,-0.45,3.141592653589793,12.0,8.316596992662184,8.000000000000014,13.491601331734584,11.999999999999996
0.00125,-0.7125,3.141592653589793,12.0,9.787801115169529,7.999999999999985,16.43400957674925,11.999999999999961
0.00125,-0.69,3.141592653589793,12.0,9.321905638494922,8.000000000000014,15.502218623400047,11.999999999999995
0.00125,-0.6666666666666666,3.141592653589793,12.0,9.016095383774351,8.000000000000009,14.8905981139589,11.999999999999988
0.00125,-0.64,3.141592653589793,12.0,8.787926541007502,8.000000000000027,14.434260428425219,12.000000000000002
0.00125,-0.61,3.141592653589793,12.0,8.62106498073485,7.999999999999977,14.100537307879906,12.00000000000002
0.00125,-0.58,3.141592653589793,12.0,8.511546036943246,8.000000000000009,13.881499420296706,11.999999999999977
0.00125,-0.55,3.141592653589793,12.0,8.438034657739061,8.000000000000059,13.734476661888351,11.99999999999996
0.00125,-0.525,3.141592653589793,12.0,8.395160065535096,8.000000000000005,13.648727477480389,11.999999999999995
0.00125,-0.5,3.141592653589793,12.0,8.36399253684085,8.00000000000001,13.586392420091908,11.99999999999996
0.00125,-0.475,3.141592653589793,12.0,8.341337008817035,8.000000000000016,13.541081364044285,12.000000000000002
0.00125,-0.45,3.141592653589793,12.0,8.324916869693928,8.000000000000018,13.508241085798078,11.999999999999982
0.0015,-0.7125,3.141592653589793,12.0,10.352280180943453,8.000000000000048,17.562967708297123,11.999999999999973
0.0015,-0.69,3.141592653589793,12.0,9.645530625525504,8.000000000000009,16.149468597461226,12.000000000000002
0.0015,-0.6666666666666666,3.141592653589793,12.0,9.217544826564758,8.000000000000032,15.293496999539709,12.000000000000004
0.0015,-0.64,3.141592653589793,12.0,8.913892840184507,7.999999999999981,14.686193026779236,12.000000000000018
0.0015,-0.61,3.141592653589793,12.0,8.699449111845661,8.000000000000036,14.257305570101524,12.000000000000005
0.0015,-0.58,3.141592653589793,12.0,8.561958668616596,8.000000000000021,13.982324683643384,12.000000000000037
0.0015,-0.55,3.141592653589793,12.0,8.4710569277661,8.00000000000003,13.800521201942408,11.999999999999993
0.0015,-0.525,3.141592653589793,12.0,8.41853984799487,7.999999999999996,13.695487042399934,11.999999999999991
0.0015,-0.5,3.141592653589793,12.0,8.380590579972427,8.000000000000023,13.619588506355074,12.000000000000005
0.0015,-0.475,3.141592653589793,12.0,8.353124744609461,8.000000000000004,13.564656835629135,11.999999999999986
0.0015,-0.45,3.141592653589793,12.0,8.333280588608675,8.000000000000032,13.524968523627559,12.000000000000005
0.00175,-0.7125,3.141592653589793,12.0,11.129701544316076,8.000000000000005,19.11781043504236,11.999999999999972
