k,wq,feature,feature_group,value_81,value_161,difference,absolute_difference,normalized_difference,convergence_classification
0.0025,-0.525,timing__excess_time_delay__sin1,timing,-0.8842252728225107,-0.8843492108683793,-0.0001239380458685213,0.0001239380458685213,0.0021670760767711892,converged
0.0025,-0.5,timing__excess_time_delay__sin1,timing,-0.8779990119655979,-0.8781206484099731,-0.00012163644437512833,0.00012163644437512833,0.002126832215415783,converged
0.0025,-0.475,timing__excess_time_delay__sin1,timing,-0.8727021424809991,-0.872821936442432,-0.00011979396143291243,0.00011979396143291243,0.0020946161135888203,converged
0.0025,-0.45,timing__excess_time_delay__sin1,timing,-0.86825177454745,-0.8683701067072199,-0.0001183321597699738,0.0001183321597699738,0.0020690562833483206,converged
0.0,-0.7125,timing__excess_time_delay__cos2,timing,0.1872398036740448,0.18725786395357163,1.8060279526832534e-05,1.8060279526832534e-05,0.0004060399815725908,converged
0.0,-0.69,timing__excess_time_delay__cos2,timing,0.1872398036740448,0.18725786395357163,1.8060279526832534e-05,1.8060279526832534e-05,0.0004060399815725908,converged
0.0,-0.6666666666666666,timing__excess_time_delay__cos2,timing,0.1872398036740448,0.18725786395357163,1.8060279526832534e-05,1.8060279526832534e-05,0.0004060399815725908,converged
0.0,-0.64,timing__excess_time_delay__cos2,timing,0.1872398036740448,0.18725786395357163,1.8060279526832534e-05,1.8060279526832534e-05,0.0004060399815725908,converged
0.0,-0.61,timing__excess_time_delay__cos2,timing,0.1872398036740448,0.18725786395357163,1.8060279526832534e-05,1.8060279526832534e-05,0.0004060399815725908,converged
0.0,-0.58,timing__excess_time_delay__cos2,timing,0.1872398036740448,0.18725786395410732,1.8060280062515144e-05,1.8060280062515144e-05,0.0004060399936160676,converged
0.0,-0.55,timing__excess_time_delay__cos2,timing,0.1872398036740448,0.18725786395357163,1.8060279526832534e-05,1.8060279526832534e-05,0.0004060399815725908,converged
