k,wq,observable_set,sigma_max,sigma_min,condition_number,cosine_similarity,sensitivity_angle_deg,numerical_rank,gram_determinant,derivative_scheme_k,derivative_scheme_wq,derivative_quality,missing_features,feature_count,rank_tolerance,parameter_k_scale,parameter_wq_scale
0.00025,-0.7125,ringdown_plus_all_shooting,15.36806767993788,1.0641645245744573,14.441439575410888,-0.9616648401868679,164.08401503957919,2,267.4583019080743,central,one_sided_forward,one_sided,,75,1.536806767993788e-09,0.0025,0.2625
0.00025,-0.69,orbital,6.447593424322467,0.03707215332679018,173.92012186308895,-0.9997675797538569,178.76466990849568,2,0.05713351090815289,central,central,central,,18,6.447593424322467e-10,0.0025,0.2625
0.00025,-0.69,photon_geometry,7.989613295407848,0.4827746185139441,16.549364836124006,-0.9784995060443458,168.0973664416183,2,14.877856921347277,central,central,central,,27,7.989613295407848e-10,0.0025,0.2625
0.00025,-0.69,redshift,3.92901499095237,0.1520686058760029,25.83712113568068,-0.9912476589930516,172.41392708609487,2,0.3569821498141008,central,central,central,,9,3.92901499095237e-10,0.0025,0.2625
0.00025,-0.69,timing,5.230302514694301,0.770289062332315,6.790051644843252,-0.8315404121201062,146.25730225885917,2,16.231590581692657,central,central,central,,17,5.230302514694302e-10,0.0025,0.2625
0.00025,-0.69,all_shooting,12.169163630225452,0.9802943884077208,12.413784852927357,-0.9580973774659549,163.35489551999163,2,142.30969725124206,central,central,central,,71,1.2169163630225451e-09,0.0025,0.2625
0.00025,-0.69,ringdown_only,2.272479298785752,0.0901233124242546,25.215221651952582,-0.7436698550723102,138.04497642374795,2,0.04194441701364194,central,central,central,,4,2.2724792987857518e-10,0.0025,0.2625
0.00025,-0.69,ringdown_plus_photon_geometry,8.287086868010636,0.7506447624122004,11.039958290496886,-0.9479919010119332,161.44018835674922,2,38.696590346330304,central,central,central,,31,8.287086868010636e-10,0.0025,0.2625
0.00025,-0.69,ringdown_plus_all_shooting,12.367907397673957,1.1210136147966807,11.032789641825302,-0.945177556883364,160.94007611792125,2,192.22692739100867,central,central,central,,75,1.2367907397673958e-09,0.0025,0.2625
0.00025,-0.6666666666666666,orbital,5.101345595186582,0.03547660288177628,143.7946471985077,-0.9996685510997105,178.52477617482484,2,0.03275318555327326,central,central,central,,18,5.101345595186582e-10,0.0025,0.2625
0.00025,-0.6666666666666666,photon_geometry,6.171582551618695,0.35751729893018985,17.262332676170114,-0.9800416248888495,168.53364995118352,2,4.868410676074907,central,central,central,,27,6.171582551618695e-10,0.0025,0.2625
0.00025,-0.6666666666666666,redshift,2.9734113323925904,0.12252582830740705,24.26762890296526,-0.9902178361538265,171.97934637514803,2,0.13272883389861737,central,central,central,,9,2.97341133239259e-10,0.0025,0.2625
0.00025,-0.6666666666666666,timing,4.3347642052924895,0.5894166203576444,7.3543297823231635,-0.8354636581527245,146.6641483572512,2,6.527933367447899,central,central,central,,17,4.33476420529249e-10,0.0025,0.2625
